texto_tweet,vader,xlm_roberta,robertuito,bert_multilingual,beto,sentiment_global
¡Atención! @ElMercurio_cl y @CajaLosAndes destacaron a #CongresoFuturo como una de las 70 organizaciones inspiradoras y de alto impacto que proponen ideas disruptivas para crear valor social que mejore la calidad de vida de las personas. https://t.co/z6EE581U3n,neutral,positivo,positivo,positivo,positivo,positivo
"@CajaLosAndes el dia 9 de abril fui a  @Cinepoliscl y no me aceptaron el codigo para la compra de entradas, sera porque era estreno?? Tuve que pagar precio normal 🙄",negativo,negativo,negativo,negativo,negativo,negativo
"@CajaLosAndes Hola, Les envié DM para que me puedan ayudar con un tema por favor.",positivo,neutral,neutral,positivo,neutral,neutral
"@CajaLosAndes hola, necesito saber en que tramo de carga familiar estoy  si en A, B. Ya que en la app no me muestra. Sldos",negativo,neutral,neutral,neutral,neutral,neutral
"Convenio DIVBIE - Caja Los Andes

Para el personal Institucional  activo o en condición de retiro y su grupo familiar que se encuentre afiliado. Más información 👉🏻 https://t.co/6kjWUwSnWE

Síguenos en Instagram @divisiondebienestar y en Facebook https://t.co/gzbNFzHaNM https://t.co/yZcQT9B7zH",neutral,neutral,neutral,positivo,neutral,neutral
"RT @IgualesChile: 🏅Fuimos reconocid@s por @ElMercurio_cl y @CajaLosAndes en el Especial de Innovación Social como una de las ""70 iniciativa…",neutral,positivo,positivo,positivo,positivo,positivo
"@CajaLosAndes Buen día, les escribo porque nuevamente no logro encontrar el descuento de cinepolis, a veces a parece y otras veces no. Favor de su ayuda, gracias!",negativo,negativo,neutral,negativo,neutral,negativo
"@CajaLosAndes por ley y cito "" D.F.L. N° 44, citado en Fuentes, norma que los subsidios se deben
pagar, por lo menos, con la misma periodicidad que la remuneración, sin que pueda ser, en caso
alguno, superior a un mes."" @SUSESOChile , indica que no mas de 72 hrs,para pagar 2 cuota de LME",negativo,neutral,neutral,negativo,neutral,neutral
"Hola a todos!, espero que estén teniendo una buena semana.

Por si no se habían dado cuenta, estoy participando en una startup que se llama apanio, que tiene como propósito acortar la brecha digital de los microempresarios de Chile…https://t.co/bepUDTAY4C https://t.co/1gQ04v1CF0",negativo,neutral,positivo,positivo,positivo,positivo
"@CajaLosAndes Hola, envié un DM, ¿me pueden ayudar?",neutral,neutral,neutral,negativo,neutral,neutral
"Vota por tu emprendimiento favorito en TECLA 6 dale like 💙 en https://t.co/pAmRy0ggzh

Los 60 finalistas necesitan de tu voto para llegar al pitch day, tienes hasta el 31 de enero para darles tu voto

OJO👀si eres afiliado a Caja Los Andes ¡Tu voto vale el doble!✌️ https://t.co/i8UYphdT0N",positivo,neutral,neutral,negativo,neutral,neutral
"@BlestSergi @CajaLosAndes Estimado @BlestSergi, lamentamos lo que nos cuenta. Por favor, envíenos por DM/inbox sus datos (nombre, Rut, correo electrónico y teléfono) para que podamos ayudarle Quedamos a la espera.",positivo,neutral,neutral,negativo,negativo,neutral
"EN VIVO | Premio a la Trayectoria, presentado por @CajaLosAndes es para Valeria Lucca, de @audaxitaliano, y quien anunció su retiro de la actividad.

Sigue la ceremonia de los #PremiosFutFem en nuestro canal de YouTube.
https://t.co/FzMqwZSQum",neutral,neutral,neutral,positivo,neutral,neutral
"Saludo protocolar entre prefecto inspector José Carrasco, jefe de la Región Policial de Coquimbo y Juan Carlos Pesantes, gerente de @CajaLosAndes.
Desarrollan reunión de trabajo y agenda en conjunto para avanzar en nuevos desafíos, compromisos y realización de proyectos 2023. https://t.co/X4yx4Vpl32",neutral,neutral,neutral,positivo,neutral,neutral
@CajaLosAndes hola disculpen estaba probando mi descuento para cinemark hace un rato y ahora no me deja volver a abrir los códigos que no canjee :( cómo puedo ver los dos códigos de nuevo?,negativo,negativo,negativo,negativo,neutral,negativo
@CajaLosAndes contratan personas mayores como junior u otros ...???.preciso urgente trabajar...saludos cordiales.Tirso Antonio.,neutral,neutral,neutral,negativo,neutral,neutral
"RT @CajaLosAndes: #Aymapu, emprendedor de la comunidad #TECLA, obtiene el premio Innovación social Caja Los Andes en los @premio_avonni 202…",neutral,positivo,positivo,positivo,positivo,positivo
"RT @CampeonatoCL: 👏👏 Felicitaciones @udechilefem 🔵🔴

Triunfo 2-1 en la semifinal de vuelta y los pasajes para la final de Sausalito 🎟🏟

Nos…",neutral,positivo,positivo,positivo,positivo,positivo
@CajaLosAndes que requisitos necesito para incorporar como carga a mi madre. Ella es Venezolana tiene 65 años y cedula de visa temporal?,neutral,neutral,neutral,negativo,neutral,neutral
@CajaLosAndes necesito ayuda con el beneficio de cinehoyts. No logro que se generen los cupones de descuento.,negativo,negativo,negativo,negativo,negativo,negativo
estimados @CajaLosAndes estaba revisando un correo que me llegó hoy en la mañana y  paf.. no hay mas cupos... abriran mas cupos?.. son 40 cupos por curso.. no será poco para su universo de afiliados y cargas... anotenlo por ahí... https://t.co/HsLRl8fu57,negativo,neutral,neutral,negativo,neutral,neutral
"@CajaLosAndes Les envio Mensaje y pasa esto, porfavor solo necesito me llamen urgente 930100947  / Rut  13.073124-4 https://t.co/pxh69LC0ye",neutral,neutral,negativo,negativo,neutral,neutral
"@CajaLosAndes Hola ingresé a mi sucursal virtual para ver lo del beneficio de la caja escolar digital pero me aparece como utilizada, cuando no he pedido ni he utilizado ese beneficio, como lo puedo solucionar?",negativo,neutral,negativo,negativo,negativo,negativo
"@IPSChile @ChileAtiende @MintrabChile @SENAMAGOB @previsionsocial @IPSValparaiso @SeremiTrabajoXV @MDSValparaiso @MintrabNuble @SubsecTrabajo @TrabajoBiobio @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",positivo,neutral,neutral,negativo,neutral,neutral
"@IPSChile @ChileAtiende @MintrabChile @previsionsocial @MinDesarrollo @subse_ssociales @IPSTarapaca @IPSOhiggins @IPSBiobio @IPSLosRios @IPSMagallanes @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",positivo,neutral,neutral,negativo,neutral,neutral
"@IPSChile @CajaLosAndes @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",positivo,neutral,neutral,negativo,neutral,neutral
